Солнце,Ветер,Главный модуль,Модуль связи,Жилой модуль,Модуль энергетики,Состояние панелей
0,10,30,43,69,39,0
0,10,24,59,58,50,0
0,10,39,46,74,36,0
0,0,34,54,70,43,1
0,0,39,51,50,37,1
0,0,42,43,73,52,1
2,0,32,48,60,43,0
0,0,49,47,55,51,0
45,0,46,54,52,45,0
60,0,58,53,51,49,0
62,10,59,58,50,48,0
54,15,47,56,49,56,0
40,20,49,54,48,46,0
20,20,57,45,51,55,0
26,20,52,43,57,46,0
13,25,66,45,42,49,0
10,25,65,56,57,48,0
5,25,58,54,47,53,0
12,28,70,44,55,54,0
15,45,72,44,37,62,0
15,50,79,60,44,51,0
18,65,75,48,34,59,0
20,60,69,50,45,55,0
21,55,99,99,99,99,0
10,54,99,99,99,99,0
15,53,99,99,99,99,0
10,35,99,99,99,99,0
20,35,99,99,99,99,0
25,35,99,99,99,99,0
25,35,99,99,99,99,0
10,35,99,99,99,99,0
35,35,99,99,99,99,0
55,35,99,99,99,99,0
60,28,99,99,99,99,0
59,25,99,99,99,99,0
51,24,99,99,99,99,0
46,24,99,99,99,99,0
37,24,99,99,99,99,0
20,24,99,99,99,99,0
21,36,99,99,99,99,0
23,36,99,99,99,99,0
27,36,99,99,99,99,0
23,36,99,99,99,99,0
10,36,99,99,99,99,0
12,47,99,99,99,99,0
5,49,99,99,99,99,0
2,49,99,99,99,99,0
1,39,99,99,99,99,0
0,37,99,99,99,99,0
0,41,99,99,99,99,0
3,32,99,99,99,99,0
0,32,99,99,99,99,0
0,35,99,99,99,99,0
0,23,99,99,99,99,0
2,22,99,99,99,99,0
6,20,99,99,99,99,0
10,24,99,99,99,99,0
15,19,99,99,99,99,0
16,18,99,99,99,99,0
17,45,99,99,99,99,0
19,50,99,99,99,99,0
20,55,99,99,99,99,0
45,13,99,99,99,99,0
55,11,99,99,99,99,0
70,9,99,99,99,99,0
55,11,99,99,99,99,1
65,5,99,99,99,99,1
20,4,99,99,99,99,1
20,5,99,99,99,99,1
15,3,99,99,99,99,1
10,5,99,99,99,99,1
0,3,99,99,99,99,1
0,9,99,99,99,99,1
0,4,99,99,99,99,1
0,8,99,99,99,99,1
0,7,99,99,99,99,0
18,2,99,99,99,99,0
20,2,99,99,99,99,0
20,1,99,99,99,99,0
55,2,99,99,99,99,0
65,0,99,99,99,99,0
90,8,99,99,99,99,0
50,1,99,99,99,99,0
65,0,99,99,99,99,0
45,3,99,99,99,99,0
48,2,99,99,99,99,0
48,0,99,99,99,99,0
48,30,99,99,99,99,0
30,49,99,99,99,99,0
20,3,99,99,99,99,0
10,0,99,99,99,99,0
10,2,99,99,99,99,0
50,0,99,99,99,99,0
48,2,99,99,99,99,0
37,1,99,99,99,99,0
26,0,99,99,99,99,0
19,0,99,99,99,99,0
11,0,99,99,99,99,0
5,0,99,99,99,99,0
0,0,99,99,99,99,0
