Солнце;Ветер;Главный модуль;Модуль связи;Жилой модуль;Модуль энергетики;Состояние панелей
10;0;30;43;69;39;0
10;0;24;59;58;50;0
10;0;39;46;74;36;0
0;0;34;54;70;43;1
0;0;39;51;50;37;1
0;0;42;43;73;52;1
0;2;32;48;60;43;0
0;0;49;47;55;51;0
0;45;46;54;52;45;0
0;60;58;53;51;49;0
10;62;59;58;50;48;0
15;54;47;56;49;56;0
20;40;49;54;48;46;0
20;20;57;45;51;55;0
20;26;52;43;57;46;0
25;13;66;45;42;49;0
25;10;65;56;57;48;0
25;5;58;54;47;53;0
28;12;70;44;55;54;0
45;15;72;44;37;62;0
50;15;79;60;44;51;0
65;18;75;48;34;59;0
60;20;69;50;45;55;0
55;21;99;99;99;99;0
54;10;99;99;99;99;0
53;15;99;99;99;99;0
35;10;99;99;99;99;0
35;20;99;99;99;99;0
35;25;99;99;99;99;0
35;25;99;99;99;99;0
35;10;99;99;99;99;0
35;35;99;99;99;99;0
35;55;99;99;99;99;0
28;60;99;99;99;99;0
25;59;99;99;99;99;0
24;51;99;99;99;99;0
24;46;99;99;99;99;0
24;37;99;99;99;99;0
24;20;99;99;99;99;0
36;21;99;99;99;99;0
36;23;99;99;99;99;0
36;27;99;99;99;99;0
36;23;99;99;99;99;0
36;10;99;99;99;99;0
47;12;99;99;99;99;0
49;5;99;99;99;99;0
49;2;99;99;99;99;0
39;1;99;99;99;99;0
37;0;99;99;99;99;0
41;0;99;99;99;99;0
32;3;99;99;99;99;0
32;0;99;99;99;99;0
35;0;99;99;99;99;0
23;0;99;99;99;99;0
22;2;99;99;99;99;0
20;6;99;99;99;99;0
24;10;99;99;99;99;0
19;15;99;99;99;99;0
18;16;99;99;99;99;0
45;17;99;99;99;99;0
50;19;99;99;99;99;0
55;20;99;99;99;99;0
13;45;99;99;99;99;0
11;55;99;99;99;99;0
9;70;99;99;99;99;0
11;55;99;99;99;99;1
5;65;99;99;99;99;1
4;20;99;99;99;99;1
5;20;99;99;99;99;1
3;15;99;99;99;99;1
5;10;99;99;99;99;1
3;0;99;99;99;99;1
9;0;99;99;99;99;1
4;0;99;99;99;99;1
8;0;99;99;99;99;1
7;0;99;99;99;99;0
2;18;99;99;99;99;0
2;20;99;99;99;99;0
1;20;99;99;99;99;0
2;55;99;99;99;99;0
0;65;99;99;99;99;0
8;90;99;99;99;99;0
1;50;99;99;99;99;0
0;65;99;99;99;99;0
3;45;99;99;99;99;0
2;48;99;99;99;99;0
0;48;99;99;99;99;0
30;48;99;99;99;99;0
49;30;99;99;99;99;0
3;20;99;99;99;99;0
0;10;99;99;99;99;0
2;10;99;99;99;99;0
0;50;99;99;99;99;0
2;48;99;99;99;99;0
1;37;99;99;99;99;0
0;26;99;99;99;99;0
0;19;99;99;99;99;0
0;11;99;99;99;99;0
0;5;99;99;99;99;0
0;0;99;99;99;99;0
