Солнце,Ветер,Главный модуль,Модуль связи,Жилой модуль,Модуль энергетики,Состояние панелей
24,0,30,43,69,39,0
20,0,24,59,58,50,0
29,0,39,46,74,36,0
22,0,34,54,70,43,0
24,0,39,51,63,37,0
27,0,42,43,73,52,0
30,2,32,48,60,43,0
36,0,49,47,55,51,0
33,0,46,54,52,45,0
43,0,58,53,51,49,0
42,0,59,58,50,48,0
40,8,47,56,49,56,0
44,16,49,54,48,46,0
55,20,57,45,51,55,0
53,26,52,43,57,46,0
56,26,66,45,42,49,0
57,35,65,56,57,48,0
61,39,58,54,47,53,0
57,47,70,44,55,54,0
61,45,72,44,37,62,0
69,48,79,60,44,51,0
69,43,75,48,34,59,0
74,44,69,50,45,55,0
76,48,82,41,38,49,0
77,52,74,52,47,51,0
73,80,87,43,29,62,0
75,83,78,45,29,61,0
86,79,74,47,43,56,0
87,70,85,55,30,55,0
91,66,96,52,29,60,0
87,58,93,58,29,63,0
83,57,85,60,39,59,0
89,56,83,47,31,57,0
81,53,91,54,30,49,0
75,43,82,44,29,59,0
78,45,92,47,34,50,0
74,46,84,57,38,60,0
75,37,72,56,46,54,0
68,27,71,46,43,50,0
68,21,76,55,55,61,0
58,23,76,42,36,58,0
65,27,81,47,52,57,0
55,27,64,46,45,52,0
57,29,74,48,42,52,0
47,28,66,45,49,38,0
55,31,65,57,45,51,0
46,25,61,48,48,49,0
39,20,58,47,63,45,0
37,11,69,55,58,50,0
41,3,69,50,61,51,0
32,3,55,53,62,37,0
32,0,55,48,71,41,0
35,0,61,41,56,34,0
23,0,53,51,59,34,0
22,2,68,44,72,35,0
20,3,55,58,77,33,0
24,3,56,58,81,38,0
19,4,51,53,82,37,0
18,3,42,41,74,24,0
14,5,46,56,80,30,0
7,1,43,47,73,28,0
13,0,46,57,69,21,0
13,2,54,51,84,27,0
11,4,56,57,71,28,0
9,5,42,50,70,37,0
11,1,39,40,76,27,0
5,2,38,53,66,35,0
4,5,50,40,68,47,0
5,7,47,43,62,29,0
3,1,36,60,62,38,0
5,2,44,55,76,38,0
3,0,38,48,60,50,0
9,0,37,56,64,32,0
4,0,48,48,73,36,0
8,0,43,51,68,41,0
7,60,35,48,69,37,0
2,65,35,59,65,49,0
2,61,39,46,54,57,0
1,67,30,57,67,58,0
2,69,30,59,69,46,0
0,78,32,48,61,43,0
8,83,39,48,63,49,0
1,79,29,54,62,44,0
0,84,28,45,47,57,0
3,90,36,55,62,52,0
2,97,33,46,45,65,0
0,93,22,41,60,53,0
3,90,30,60,60,55,0
4,81,29,44,54,63,0
3,78,32,51,45,54,0
0,75,33,45,58,67,0
2,63,31,49,49,65,0
0,55,31,49,39,53,0
2,48,18,48,53,69,0
1,37,20,45,42,66,0
0,26,32,43,36,57,0
0,19,18,47,35,61,0
0,11,26,52,32,76,0
0,5,18,53,45,77,0
0,0,10,41,39,64,0
