Солнце,Ветер,Главный модуль,Модуль связи,Жилой модуль,Модуль энергетики,Состояние панелей
10,0,30,43,69,39,0
10,0,24,59,58,50,0
10,0,39,46,74,36,0
0,0,34,54,70,43,0
0,0,39,51,50,37,0
0,0,42,43,73,52,0
0,2,32,48,60,43,0
0,0,49,47,55,51,0
0,0,46,54,52,45,0
0,0,58,53,51,49,0
10,0,59,58,50,48,0
15,8,47,56,49,56,0
20,16,49,54,48,46,0
20,20,57,45,51,55,0
20,26,52,43,57,46,0
25,26,66,45,42,49,0
25,35,65,56,57,48,0
25,39,58,54,47,53,0
28,47,70,44,55,54,0
29,45,72,44,37,62,0
30,48,79,60,44,51,0
31,43,75,48,34,59,0
32,44,69,50,45,55,0
33,48,82,41,38,49,0
34,52,74,52,47,51,0
35,69,87,43,29,62,0
35,69,78,45,29,61,0
35,69,74,47,43,56,0
35,69,85,55,30,55,0
35,66,96,52,29,60,0
35,58,93,58,29,63,0
35,57,85,60,39,59,0
35,56,83,47,31,57,0
28,53,91,54,30,49,0
25,43,82,44,29,59,0
24,45,92,47,34,50,0
24,46,84,57,38,60,0
24,37,72,56,46,54,0
24,27,71,46,43,50,0
36,21,76,55,55,61,0
36,23,76,42,36,58,0
36,27,81,47,52,57,0
36,27,64,46,45,52,0
36,29,74,48,42,52,0
47,28,66,45,49,38,0
49,31,65,57,45,51,0
49,25,61,48,48,49,0
39,20,58,47,63,45,0
37,11,69,55,58,50,0
41,3,69,50,61,51,0
32,3,55,53,62,37,0
32,0,55,48,71,41,0
35,0,61,41,56,34,0
23,0,53,51,59,34,0
22,2,68,44,72,35,0
20,3,55,58,77,33,0
24,3,56,58,81,38,0
19,4,51,53,82,37,0
18,3,42,41,74,24,0
14,5,46,56,80,30,0
7,1,43,47,73,28,0
13,0,46,57,69,21,0
13,2,54,51,84,27,0
11,4,56,57,71,28,0
9,5,42,50,70,37,0
11,1,39,40,76,27,0
5,2,38,53,66,35,0
4,5,50,40,68,47,0
5,7,47,43,62,29,0
3,1,36,60,62,38,0
5,2,44,55,76,38,0
3,0,38,48,60,50,0
9,0,37,56,64,32,0
4,0,48,48,73,36,0
8,0,43,51,68,41,0
7,15,35,48,69,37,0
2,18,35,59,65,49,0
2,20,39,46,54,57,0
1,20,30,57,67,58,0
2,50,30,59,69,46,0
0,50,32,48,61,43,0
8,50,39,48,63,49,0
1,50,29,54,62,44,0
0,50,28,45,47,57,0
3,50,36,55,62,52,0
2,48,33,46,45,65,0
0,48,22,41,60,53,0
3,48,30,60,60,55,0
4,48,29,44,54,63,0
3,48,32,51,45,54,0
0,48,33,45,58,67,0
2,48,31,49,49,65,0
0,50,31,49,39,53,0
2,48,18,48,53,69,0
1,37,20,45,42,66,0
0,26,32,43,36,57,0
0,19,18,47,35,61,0
0,11,26,52,32,76,0
0,5,18,53,45,77,0
0,0,10,41,39,64,0
