Time;K1;K2;K3
23:21:31;0;0;0
23:21:32;0;0;0
23:21:33;0;0;0
23:21:34;0;0;0
23:21:35;0;0;0
23:21:36;0;0;0
23:21:37;0;0;0
23:21:38;0;0;0
23:21:39;0;0;0
23:21:40;0;0;0
23:21:41;0;0;0
23:21:42;0;0;0
23:21:43;0;0;0
23:21:44;0;0;0
23:21:45;1;0;0
23:21:46;1;0;0
23:21:47;0;0;1
23:21:48;0;0;1
23:21:49;0;0;1
23:21:50;0;0;1
23:21:51;0;0;1
23:21:52;0;0;0
23:21:53;0;0;0
23:21:54;0;0;0
23:21:55;0;0;0
23:21:56;0;0;0
23:21:57;0;0;0
23:21:58;0;0;0
23:21:59;0;0;0
23:22:00;0;0;0
23:22:01;0;0;0
23:22:02;0;0;0
23:22:03;0;0;0
23:22:04;0;0;0
